year,region,type,price
1997,Hawaii,2bedroom,174266.67
1997,Hawaii,3bedroom,220116.67
1997,Hawaii,4bedroom,280758.33
1997,Hawaii,5BedroomOrMore,324716.67
1997,Hawaii,BottomTier,127283.33
1997,Hawaii,CondoCoop,164250
1997,Hawaii,MiddleTier,215791.67
1997,Hawaii,House,248966.67
1997,Hawaii,TopTier,352025
1997,Idaho,1bedroom,73091.67
1997,Idaho,2bedroom,81691.67
1997,Idaho,3bedroom,104341.67
1997,Idaho,4bedroom,133650
1997,Idaho,5BedroomOrMore,158650
1997,Idaho,BottomTier,80350
1997,Idaho,CondoCoop,100816.67
1997,Idaho,MiddleTier,110891.67
1997,Idaho,House,111266.67
1997,Idaho,TopTier,171450
1997,Illinois,1bedroom,83816.67
1997,Illinois,2bedroom,93600
1997,Illinois,3bedroom,115500
1997,Illinois,4bedroom,180566.67
1997,Illinois,5BedroomOrMore,232716.67
1997,Illinois,BottomTier,64141.67
1997,Illinois,CondoCoop,110316.67
1997,Illinois,MiddleTier,116683.33
1997,Illinois,House,119083.33
1997,Illinois,TopTier,200633.33
1997,Indiana,1bedroom,46508.33
1997,Indiana,2bedroom,55675
1997,Indiana,3bedroom,82658.33
1997,Indiana,4bedroom,NaN
1997,Indiana,5BedroomOrMore,130050
1997,Indiana,BottomTier,49641.67
1997,Indiana,CondoCoop,90633.33
1997,Indiana,MiddleTier,79566.67
1997,Indiana,House,79125
1997,Indiana,TopTier,130591.67
1997,Iowa,1bedroom,55450
1997,Iowa,2bedroom,61233.33
1997,Iowa,3bedroom,77733.33
1997,Iowa,4bedroom,95075
1997,Iowa,5BedroomOrMore,NaN
1997,Iowa,BottomTier,49475
1997,Iowa,CondoCoop,83650
1997,Iowa,MiddleTier,67341.67
1997,Iowa,House,66533.33
1997,Iowa,TopTier,114266.67
1997,Kansas,1bedroom,NaN
1997,Kansas,2bedroom,NaN
1997,Kansas,3bedroom,NaN
1997,Kansas,4bedroom,NaN
1997,Kansas,5BedroomOrMore,NaN
1997,Kansas,BottomTier,NaN
1997,Kansas,CondoCoop,77708.33
1997,Kansas,MiddleTier,NaN
1997,Kansas,House,NaN
1997,Kansas,TopTier,NaN
1997,Kentucky,1bedroom,54300
1997,Kentucky,2bedroom,68666.67
1997,Kentucky,3bedroom,85775
1997,Kentucky,4bedroom,138666.67
1997,Kentucky,5BedroomOrMore,157850
1997,Kentucky,BottomTier,50766.67
1997,Kentucky,CondoCoop,85975
1997,Kentucky,MiddleTier,81058.33
1997,Kentucky,House,80675
1997,Kentucky,TopTier,142250
1997,Louisiana,1bedroom,NaN
1997,Louisiana,2bedroom,NaN
1997,Louisiana,3bedroom,85758.33
1997,Louisiana,4bedroom,NaN
1997,Louisiana,5BedroomOrMore,NaN
1997,Louisiana,BottomTier,48600
1997,Louisiana,CondoCoop,NaN
1997,Louisiana,MiddleTier,NaN
1997,Louisiana,House,NaN
1997,Louisiana,TopTier,NaN
1997,Maine,1bedroom,NaN
1997,Maine,2bedroom,81375
1997,Maine,3bedroom,96800
1997,Maine,4bedroom,122450
1997,Maine,5BedroomOrMore,145666.67
1997,Maine,BottomTier,62583.33
1997,Maine,CondoCoop,81516.67
1997,Maine,MiddleTier,90575
1997,Maine,House,91466.67
1997,Maine,TopTier,150816.67
1997,Maryland,1bedroom,73291.67
1997,Maryland,2bedroom,89158.33
1997,Maryland,3bedroom,119516.67
1997,Maryland,4bedroom,173233.33
1997,Maryland,5BedroomOrMore,234466.67
1997,Maryland,BottomTier,74366.67
1997,Maryland,CondoCoop,107266.67
1997,Maryland,MiddleTier,127133.33
1997,Maryland,House,133475
1997,Maryland,TopTier,211775
1997,Massachusetts,1bedroom,86250
1997,Massachusetts,2bedroom,113375
1997,Massachusetts,3bedroom,144083.33
1997,Massachusetts,4bedroom,204891.67
1997,Massachusetts,5BedroomOrMore,267050
1997,Massachusetts,BottomTier,92266.67
1997,Massachusetts,CondoCoop,111458.33
1997,Massachusetts,MiddleTier,145308.33
1997,Massachusetts,House,152050
1997,Massachusetts,TopTier,244e3
1997,Michigan,1bedroom,66950
1997,Michigan,2bedroom,79666.67
1997,Michigan,3bedroom,105925
1997,Michigan,4bedroom,177791.67
1997,Michigan,5BedroomOrMore,169925
1997,Michigan,BottomTier,55758.33
1997,Michigan,CondoCoop,121341.67
1997,Michigan,MiddleTier,90008.33
1997,Michigan,House,87783.33
1997,Michigan,TopTier,160350
1997,Minnesota,1bedroom,60725
1997,Minnesota,2bedroom,87366.67
1997,Minnesota,3bedroom,105016.67
1997,Minnesota,4bedroom,134091.67
1997,Minnesota,5BedroomOrMore,170050
1997,Minnesota,BottomTier,64941.67
1997,Minnesota,CondoCoop,93033.33
1997,Minnesota,MiddleTier,100366.67
1997,Minnesota,House,101366.67
1997,Minnesota,TopTier,161741.67
1997,Mississippi,1bedroom,NaN
1997,Mississippi,2bedroom,NaN
1997,Mississippi,3bedroom,72741.67
1997,Mississippi,4bedroom,128191.67
1997,Mississippi,5BedroomOrMore,131691.67
1997,Mississippi,BottomTier,40483.33
1997,Mississippi,CondoCoop,NaN
1997,Mississippi,MiddleTier,66350
1997,Mississippi,House,66366.67
1997,Mississippi,TopTier,118316.67
1997,Missouri,1bedroom,51908.33
1997,Missouri,2bedroom,64441.67
1997,Missouri,3bedroom,95766.67
1997,Missouri,4bedroom,159541.67
1997,Missouri,5BedroomOrMore,196491.67
1997,Missouri,BottomTier,55441.67
1997,Missouri,CondoCoop,78350
1997,Missouri,MiddleTier,89066.67
1997,Missouri,House,89933.33
1997,Missouri,TopTier,153683.33
1997,Nebraska,1bedroom,55383.33
1997,Nebraska,2bedroom,65591.67
1997,Nebraska,3bedroom,91300
1997,Nebraska,4bedroom,141316.67
1997,Nebraska,5BedroomOrMore,114725
1997,Nebraska,BottomTier,54166.67
1997,Nebraska,CondoCoop,92425
1997,Nebraska,MiddleTier,86758.33
1997,Nebraska,House,86550
1997,Nebraska,TopTier,142791.67
1997,Nevada,1bedroom,NaN
1997,Nevada,2bedroom,96258.33
1997,Nevada,3bedroom,125091.67
1997,Nevada,4bedroom,158425
1997,Nevada,5BedroomOrMore,217508.33
1997,Nevada,BottomTier,88650
1997,Nevada,CondoCoop,88233.33
1997,Nevada,MiddleTier,129083.33
1997,Nevada,House,138016.67
1997,Nevada,TopTier,198800
1997,NewHampshire,1bedroom,59808.33
